"Million Plus Cities","Cause category","Cause Subcategory","Outcome of Incident",Count
Allahabad(Prayagraj),"Traffic Control",Uncontrolled,"Minor Injury",56
Allahabad(Prayagraj),"Traffic Control",Uncontrolled,"Persons Killed",43
Allahabad(Prayagraj),"Traffic Control",Uncontrolled,"Total Injured",78
Allahabad(Prayagraj),"Traffic Control",Uncontrolled,"Total number of Accidents",119
Amritsar,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",5
Amritsar,"Traffic Control","Flashing Signal/Blinker","Minor Injury",7
Amritsar,"Traffic Control","Flashing Signal/Blinker","Persons Killed",13
Amritsar,"Traffic Control","Flashing Signal/Blinker","Total Injured",12
Amritsar,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
Amritsar,"Traffic Control",Others,"Greviously Injured",19
Amritsar,"Traffic Control",Others,"Minor Injury",8
Amritsar,"Traffic Control",Others,"Persons Killed",29
Amritsar,"Traffic Control",Others,"Total Injured",27
Amritsar,"Traffic Control",Others,"Total number of Accidents",44
Amritsar,"Traffic Control","Police Controlled","Greviously Injured",0
Amritsar,"Traffic Control","Police Controlled","Minor Injury",0
Amritsar,"Traffic Control","Police Controlled","Persons Killed",2
Amritsar,"Traffic Control","Police Controlled","Total Injured",0
Amritsar,"Traffic Control","Police Controlled","Total number of Accidents",0
Amritsar,"Traffic Control","Stop Sign","Greviously Injured",7
Amritsar,"Traffic Control","Stop Sign","Minor Injury",1
Amritsar,"Traffic Control","Stop Sign","Persons Killed",6
Amritsar,"Traffic Control","Stop Sign","Total Injured",8
Amritsar,"Traffic Control","Stop Sign","Total number of Accidents",0
Amritsar,"Traffic Control","Traffic Light Signal","Greviously Injured",6
Amritsar,"Traffic Control","Traffic Light Signal","Minor Injury",4
Amritsar,"Traffic Control","Traffic Light Signal","Persons Killed",10
Amritsar,"Traffic Control","Traffic Light Signal","Total Injured",10
Amritsar,"Traffic Control","Traffic Light Signal","Total number of Accidents",1
Amritsar,"Traffic Control",Uncontrolled,"Greviously Injured",1
Amritsar,"Traffic Control",Uncontrolled,"Minor Injury",1
Amritsar,"Traffic Control",Uncontrolled,"Persons Killed",6
Amritsar,"Traffic Control",Uncontrolled,"Total Injured",2
Amritsar,"Traffic Control",Uncontrolled,"Total number of Accidents",55
"Asansol Durgapur","Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
"Asansol Durgapur","Traffic Control","Flashing Signal/Blinker","Minor Injury",0
"Asansol Durgapur","Traffic Control","Flashing Signal/Blinker","Persons Killed",0
"Asansol Durgapur","Traffic Control","Flashing Signal/Blinker","Total Injured",0
"Asansol Durgapur","Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
"Asansol Durgapur","Traffic Control",Others,"Greviously Injured",183
"Asansol Durgapur","Traffic Control",Others,"Minor Injury",41
"Asansol Durgapur","Traffic Control",Others,"Persons Killed",299
"Asansol Durgapur","Traffic Control",Others,"Total Injured",224
"Asansol Durgapur","Traffic Control",Others,"Total number of Accidents",401
"Asansol Durgapur","Traffic Control","Police Controlled","Greviously Injured",2
"Asansol Durgapur","Traffic Control","Police Controlled","Minor Injury",0
"Asansol Durgapur","Traffic Control","Police Controlled","Persons Killed",6
"Asansol Durgapur","Traffic Control","Police Controlled","Total Injured",2
"Asansol Durgapur","Traffic Control","Police Controlled","Total number of Accidents",7
"Asansol Durgapur","Traffic Control","Stop Sign","Greviously Injured",1
"Asansol Durgapur","Traffic Control","Stop Sign","Minor Injury",0
"Asansol Durgapur","Traffic Control","Stop Sign","Persons Killed",1
"Asansol Durgapur","Traffic Control","Stop Sign","Total Injured",1
"Asansol Durgapur","Traffic Control","Stop Sign","Total number of Accidents",2
"Asansol Durgapur","Traffic Control","Traffic Light Signal","Greviously Injured",0
"Asansol Durgapur","Traffic Control","Traffic Light Signal","Minor Injury",0
"Asansol Durgapur","Traffic Control","Traffic Light Signal","Persons Killed",1
"Asansol Durgapur","Traffic Control","Traffic Light Signal","Total Injured",0
"Asansol Durgapur","Traffic Control","Traffic Light Signal","Total number of Accidents",1
"Asansol Durgapur","Traffic Control",Uncontrolled,"Greviously Injured",17
"Asansol Durgapur","Traffic Control",Uncontrolled,"Minor Injury",2
"Asansol Durgapur","Traffic Control",Uncontrolled,"Persons Killed",8
"Asansol Durgapur","Traffic Control",Uncontrolled,"Total Injured",19
"Asansol Durgapur","Traffic Control",Uncontrolled,"Total number of Accidents",17
Aurangabad,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Aurangabad,"Traffic Control","Flashing Signal/Blinker","Minor Injury",0
Aurangabad,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Aurangabad,"Traffic Control","Flashing Signal/Blinker","Total Injured",0
Aurangabad,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
Aurangabad,"Traffic Control",Others,"Greviously Injured",189
Aurangabad,"Traffic Control",Others,"Minor Injury",69
Aurangabad,"Traffic Control",Others,"Persons Killed",107
Aurangabad,"Traffic Control",Others,"Total Injured",258
Aurangabad,"Traffic Control",Others,"Total number of Accidents",345
Aurangabad,"Traffic Control","Police Controlled","Greviously Injured",0
Aurangabad,"Traffic Control","Police Controlled","Minor Injury",0
Aurangabad,"Traffic Control","Police Controlled","Persons Killed",0
Aurangabad,"Traffic Control","Police Controlled","Total Injured",0
Aurangabad,"Traffic Control","Police Controlled","Total number of Accidents",0
Aurangabad,"Traffic Control","Stop Sign","Greviously Injured",0
Aurangabad,"Traffic Control","Stop Sign","Minor Injury",0
Aurangabad,"Traffic Control","Stop Sign","Persons Killed",0
Aurangabad,"Traffic Control","Stop Sign","Total Injured",0
Aurangabad,"Traffic Control","Stop Sign","Total number of Accidents",0
Aurangabad,"Traffic Control","Traffic Light Signal","Greviously Injured",0
Aurangabad,"Traffic Control","Traffic Light Signal","Minor Injury",0
Aurangabad,"Traffic Control","Traffic Light Signal","Persons Killed",0
Aurangabad,"Traffic Control","Traffic Light Signal","Total Injured",0
Aurangabad,"Traffic Control","Traffic Light Signal","Total number of Accidents",0
Aurangabad,"Traffic Control",Uncontrolled,"Greviously Injured",31
Aurangabad,"Traffic Control",Uncontrolled,"Minor Injury",4
Aurangabad,"Traffic Control",Uncontrolled,"Persons Killed",29
Aurangabad,"Traffic Control",Uncontrolled,"Total Injured",35
Aurangabad,"Traffic Control",Uncontrolled,"Total number of Accidents",61
Bengaluru,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",33
Bengaluru,"Traffic Control","Flashing Signal/Blinker","Minor Injury",33
Bengaluru,"Traffic Control","Flashing Signal/Blinker","Persons Killed",9
Bengaluru,"Traffic Control","Flashing Signal/Blinker","Total Injured",66
Bengaluru,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",67
Bengaluru,"Traffic Control",Others,"Greviously Injured",1154
Bengaluru,"Traffic Control",Others,"Minor Injury",773
Bengaluru,"Traffic Control",Others,"Persons Killed",536
Bengaluru,"Traffic Control",Others,"Total Injured",1927
Bengaluru,"Traffic Control",Others,"Total number of Accidents",2316
Bengaluru,"Traffic Control","Police Controlled","Greviously Injured",130
Bengaluru,"Traffic Control","Police Controlled","Minor Injury",38
Bengaluru,"Traffic Control","Police Controlled","Persons Killed",38
Bengaluru,"Traffic Control","Police Controlled","Total Injured",168
Bengaluru,"Traffic Control","Police Controlled","Total number of Accidents",220
Bengaluru,"Traffic Control","Stop Sign","Greviously Injured",12
Bengaluru,"Traffic Control","Stop Sign","Minor Injury",4
Bengaluru,"Traffic Control","Stop Sign","Persons Killed",0
Bengaluru,"Traffic Control","Stop Sign","Total Injured",16
Bengaluru,"Traffic Control","Stop Sign","Total number of Accidents",16
Bengaluru,"Traffic Control","Traffic Light Signal","Greviously Injured",180
Bengaluru,"Traffic Control","Traffic Light Signal","Minor Injury",99
Bengaluru,"Traffic Control","Traffic Light Signal","Persons Killed",32
Bengaluru,"Traffic Control","Traffic Light Signal","Total Injured",279
Bengaluru,"Traffic Control","Traffic Light Signal","Total number of Accidents",335
Bengaluru,"Traffic Control",Uncontrolled,"Greviously Injured",198
Bengaluru,"Traffic Control",Uncontrolled,"Minor Injury",97
Bengaluru,"Traffic Control",Uncontrolled,"Persons Killed",31
Bengaluru,"Traffic Control",Uncontrolled,"Total Injured",295
Bengaluru,"Traffic Control",Uncontrolled,"Total number of Accidents",279
Bhopal,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Bhopal,"Traffic Control","Flashing Signal/Blinker","Minor Injury",19
Bhopal,"Traffic Control","Flashing Signal/Blinker","Persons Killed",3
Bhopal,"Traffic Control","Flashing Signal/Blinker","Total Injured",19
Bhopal,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",33
Bhopal,"Traffic Control",Others,"Greviously Injured",71
Bhopal,"Traffic Control",Others,"Minor Injury",753
Bhopal,"Traffic Control",Others,"Persons Killed",135
Bhopal,"Traffic Control",Others,"Total Injured",824
Bhopal,"Traffic Control",Others,"Total number of Accidents",1001
Bhopal,"Traffic Control","Police Controlled","Greviously Injured",11
Bhopal,"Traffic Control","Police Controlled","Minor Injury",45
Bhopal,"Traffic Control","Police Controlled","Persons Killed",9
Bhopal,"Traffic Control","Police Controlled","Total Injured",56
Bhopal,"Traffic Control","Police Controlled","Total number of Accidents",101
Bhopal,"Traffic Control","Stop Sign","Greviously Injured",30
Bhopal,"Traffic Control","Stop Sign","Minor Injury",295
Bhopal,"Traffic Control","Stop Sign","Persons Killed",26
Bhopal,"Traffic Control","Stop Sign","Total Injured",325
Bhopal,"Traffic Control","Stop Sign","Total number of Accidents",416
Bhopal,"Traffic Control","Traffic Light Signal","Greviously Injured",21
Bhopal,"Traffic Control","Traffic Light Signal","Minor Injury",103
Bhopal,"Traffic Control","Traffic Light Signal","Persons Killed",18
Bhopal,"Traffic Control","Traffic Light Signal","Total Injured",124
Bhopal,"Traffic Control","Traffic Light Signal","Total number of Accidents",181
Bhopal,"Traffic Control",Uncontrolled,"Greviously Injured",53
Bhopal,"Traffic Control",Uncontrolled,"Minor Injury",406
Bhopal,"Traffic Control",Uncontrolled,"Persons Killed",46
Bhopal,"Traffic Control",Uncontrolled,"Total Injured",459
Bhopal,"Traffic Control",Uncontrolled,"Total number of Accidents",563
Chandigarh,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",4
Chandigarh,"Traffic Control","Flashing Signal/Blinker","Minor Injury",15
Chandigarh,"Traffic Control","Flashing Signal/Blinker","Persons Killed",5
Chandigarh,"Traffic Control","Flashing Signal/Blinker","Total Injured",19
Chandigarh,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",15
Chandigarh,"Traffic Control",Others,"Greviously Injured",8
Chandigarh,"Traffic Control",Others,"Minor Injury",61
Chandigarh,"Traffic Control",Others,"Persons Killed",25
Chandigarh,"Traffic Control",Others,"Total Injured",69
Chandigarh,"Traffic Control",Others,"Total number of Accidents",77
Chandigarh,"Traffic Control","Police Controlled","Greviously Injured",0
Chandigarh,"Traffic Control","Police Controlled","Minor Injury",0
Chandigarh,"Traffic Control","Police Controlled","Persons Killed",1
Chandigarh,"Traffic Control","Police Controlled","Total Injured",0
Chandigarh,"Traffic Control","Police Controlled","Total number of Accidents",1
Chandigarh,"Traffic Control","Stop Sign","Greviously Injured",0
Chandigarh,"Traffic Control","Stop Sign","Minor Injury",0
Chandigarh,"Traffic Control","Stop Sign","Persons Killed",0
Chandigarh,"Traffic Control","Stop Sign","Total Injured",0
Chandigarh,"Traffic Control","Stop Sign","Total number of Accidents",0
Chandigarh,"Traffic Control","Traffic Light Signal","Greviously Injured",0
Chandigarh,"Traffic Control","Traffic Light Signal","Minor Injury",43
Chandigarh,"Traffic Control","Traffic Light Signal","Persons Killed",17
Chandigarh,"Traffic Control","Traffic Light Signal","Total Injured",43
Chandigarh,"Traffic Control","Traffic Light Signal","Total number of Accidents",49
Chandigarh,"Traffic Control",Uncontrolled,"Greviously Injured",2
Chandigarh,"Traffic Control",Uncontrolled,"Minor Injury",15
Chandigarh,"Traffic Control",Uncontrolled,"Persons Killed",5
Chandigarh,"Traffic Control",Uncontrolled,"Total Injured",17
Chandigarh,"Traffic Control",Uncontrolled,"Total number of Accidents",17
Chennai,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",198
Chennai,"Traffic Control","Flashing Signal/Blinker","Minor Injury",525
Chennai,"Traffic Control","Flashing Signal/Blinker","Persons Killed",212
Chennai,"Traffic Control","Flashing Signal/Blinker","Total Injured",723
Chennai,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",776
Chennai,"Traffic Control",Others,"Greviously Injured",369
Chennai,"Traffic Control",Others,"Minor Injury",1214
Chennai,"Traffic Control",Others,"Persons Killed",276
Chennai,"Traffic Control",Others,"Total Injured",1583
Chennai,"Traffic Control",Others,"Total number of Accidents",1598
Chennai,"Traffic Control","Police Controlled","Greviously Injured",78
Chennai,"Traffic Control","Police Controlled","Minor Injury",445
Chennai,"Traffic Control","Police Controlled","Persons Killed",110
Chennai,"Traffic Control","Police Controlled","Total Injured",523
Chennai,"Traffic Control","Police Controlled","Total number of Accidents",501
Chennai,"Traffic Control","Stop Sign","Greviously Injured",88
Chennai,"Traffic Control","Stop Sign","Minor Injury",234
Chennai,"Traffic Control","Stop Sign","Persons Killed",81
Chennai,"Traffic Control","Stop Sign","Total Injured",322
Chennai,"Traffic Control","Stop Sign","Total number of Accidents",384
Chennai,"Traffic Control","Traffic Light Signal","Greviously Injured",89
Chennai,"Traffic Control","Traffic Light Signal","Minor Injury",389
Chennai,"Traffic Control","Traffic Light Signal","Persons Killed",65
Chennai,"Traffic Control","Traffic Light Signal","Total Injured",478
Chennai,"Traffic Control","Traffic Light Signal","Total number of Accidents",433
Chennai,"Traffic Control",Uncontrolled,"Greviously Injured",119
Chennai,"Traffic Control",Uncontrolled,"Minor Injury",515
Chennai,"Traffic Control",Uncontrolled,"Persons Killed",128
Chennai,"Traffic Control",Uncontrolled,"Total Injured",634
Chennai,"Traffic Control",Uncontrolled,"Total number of Accidents",697
Coimbatore,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",11
Coimbatore,"Traffic Control","Flashing Signal/Blinker","Minor Injury",16
Coimbatore,"Traffic Control","Flashing Signal/Blinker","Persons Killed",2
Coimbatore,"Traffic Control","Flashing Signal/Blinker","Total Injured",27
Coimbatore,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",25
Coimbatore,"Traffic Control",Others,"Greviously Injured",267
Coimbatore,"Traffic Control",Others,"Minor Injury",244
Coimbatore,"Traffic Control",Others,"Persons Killed",54
Coimbatore,"Traffic Control",Others,"Total Injured",511
Coimbatore,"Traffic Control",Others,"Total number of Accidents",500
Coimbatore,"Traffic Control","Police Controlled","Greviously Injured",0
Coimbatore,"Traffic Control","Police Controlled","Minor Injury",6
Coimbatore,"Traffic Control","Police Controlled","Persons Killed",0
Coimbatore,"Traffic Control","Police Controlled","Total Injured",6
Coimbatore,"Traffic Control","Police Controlled","Total number of Accidents",8
Coimbatore,"Traffic Control","Stop Sign","Greviously Injured",0
Coimbatore,"Traffic Control","Stop Sign","Minor Injury",0
Coimbatore,"Traffic Control","Stop Sign","Persons Killed",0
Coimbatore,"Traffic Control","Stop Sign","Total Injured",0
Coimbatore,"Traffic Control","Stop Sign","Total number of Accidents",0
Coimbatore,"Traffic Control","Traffic Light Signal","Greviously Injured",11
Coimbatore,"Traffic Control","Traffic Light Signal","Minor Injury",25
Coimbatore,"Traffic Control","Traffic Light Signal","Persons Killed",3
Coimbatore,"Traffic Control","Traffic Light Signal","Total Injured",36
Coimbatore,"Traffic Control","Traffic Light Signal","Total number of Accidents",40
Coimbatore,"Traffic Control",Uncontrolled,"Greviously Injured",58
Coimbatore,"Traffic Control",Uncontrolled,"Minor Injury",84
Coimbatore,"Traffic Control",Uncontrolled,"Persons Killed",6
Coimbatore,"Traffic Control",Uncontrolled,"Total Injured",142
Coimbatore,"Traffic Control",Uncontrolled,"Total number of Accidents",134
Delhi,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",6
Delhi,"Traffic Control","Flashing Signal/Blinker","Minor Injury",134
Delhi,"Traffic Control","Flashing Signal/Blinker","Persons Killed",49
Delhi,"Traffic Control","Flashing Signal/Blinker","Total Injured",140
Delhi,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",171
Delhi,"Traffic Control",Others,"Greviously Injured",109
Delhi,"Traffic Control",Others,"Minor Injury",2180
Delhi,"Traffic Control",Others,"Persons Killed",686
Delhi,"Traffic Control",Others,"Total Injured",2289
Delhi,"Traffic Control",Others,"Total number of Accidents",2463
Delhi,"Traffic Control","Police Controlled","Greviously Injured",5
Delhi,"Traffic Control","Police Controlled","Minor Injury",42
Delhi,"Traffic Control","Police Controlled","Persons Killed",20
Delhi,"Traffic Control","Police Controlled","Total Injured",47
Delhi,"Traffic Control","Police Controlled","Total number of Accidents",62
Delhi,"Traffic Control","Stop Sign","Greviously Injured",8
Delhi,"Traffic Control","Stop Sign","Minor Injury",110
Delhi,"Traffic Control","Stop Sign","Persons Killed",37
Delhi,"Traffic Control","Stop Sign","Total Injured",118
Delhi,"Traffic Control","Stop Sign","Total number of Accidents",140
Delhi,"Traffic Control","Traffic Light Signal","Greviously Injured",39
Delhi,"Traffic Control","Traffic Light Signal","Minor Injury",300
Delhi,"Traffic Control","Traffic Light Signal","Persons Killed",98
Delhi,"Traffic Control","Traffic Light Signal","Total Injured",339
Delhi,"Traffic Control","Traffic Light Signal","Total number of Accidents",401
Delhi,"Traffic Control",Uncontrolled,"Greviously Injured",45
Delhi,"Traffic Control",Uncontrolled,"Minor Injury",684
Delhi,"Traffic Control",Uncontrolled,"Persons Killed",306
Delhi,"Traffic Control",Uncontrolled,"Total Injured",729
Delhi,"Traffic Control",Uncontrolled,"Total number of Accidents",941
Dhanbad,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",4
Dhanbad,"Traffic Control","Flashing Signal/Blinker","Minor Injury",2
Dhanbad,"Traffic Control","Flashing Signal/Blinker","Persons Killed",11
Dhanbad,"Traffic Control","Flashing Signal/Blinker","Total Injured",6
Dhanbad,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",14
Dhanbad,"Traffic Control",Others,"Greviously Injured",0
Dhanbad,"Traffic Control",Others,"Minor Injury",0
Dhanbad,"Traffic Control",Others,"Persons Killed",0
Dhanbad,"Traffic Control",Others,"Total Injured",0
Dhanbad,"Traffic Control",Others,"Total number of Accidents",0
Dhanbad,"Traffic Control","Police Controlled","Greviously Injured",15
Dhanbad,"Traffic Control","Police Controlled","Minor Injury",9
Dhanbad,"Traffic Control","Police Controlled","Persons Killed",32
Dhanbad,"Traffic Control","Police Controlled","Total Injured",24
Dhanbad,"Traffic Control","Police Controlled","Total number of Accidents",47
Dhanbad,"Traffic Control","Stop Sign","Greviously Injured",5
Dhanbad,"Traffic Control","Stop Sign","Minor Injury",2
Dhanbad,"Traffic Control","Stop Sign","Persons Killed",9
Dhanbad,"Traffic Control","Stop Sign","Total Injured",7
Dhanbad,"Traffic Control","Stop Sign","Total number of Accidents",12
Dhanbad,"Traffic Control","Traffic Light Signal","Greviously Injured",35
Dhanbad,"Traffic Control","Traffic Light Signal","Minor Injury",12
Dhanbad,"Traffic Control","Traffic Light Signal","Persons Killed",18
Dhanbad,"Traffic Control","Traffic Light Signal","Total Injured",47
Dhanbad,"Traffic Control","Traffic Light Signal","Total number of Accidents",69
Dhanbad,"Traffic Control",Uncontrolled,"Greviously Injured",13
Dhanbad,"Traffic Control",Uncontrolled,"Minor Injury",1
Dhanbad,"Traffic Control",Uncontrolled,"Persons Killed",13
Dhanbad,"Traffic Control",Uncontrolled,"Total Injured",14
Dhanbad,"Traffic Control",Uncontrolled,"Total number of Accidents",22
Faridabad,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",2
Faridabad,"Traffic Control","Flashing Signal/Blinker","Minor Injury",6
Faridabad,"Traffic Control","Flashing Signal/Blinker","Persons Killed",3
Faridabad,"Traffic Control","Flashing Signal/Blinker","Total Injured",8
Faridabad,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",9
Faridabad,"Traffic Control",Others,"Greviously Injured",57
Faridabad,"Traffic Control",Others,"Minor Injury",305
Faridabad,"Traffic Control",Others,"Persons Killed",160
Faridabad,"Traffic Control",Others,"Total Injured",362
Faridabad,"Traffic Control",Others,"Total number of Accidents",418
Faridabad,"Traffic Control","Police Controlled","Greviously Injured",0
Faridabad,"Traffic Control","Police Controlled","Minor Injury",0
Faridabad,"Traffic Control","Police Controlled","Persons Killed",0
Faridabad,"Traffic Control","Police Controlled","Total Injured",0
Faridabad,"Traffic Control","Police Controlled","Total number of Accidents",0
Faridabad,"Traffic Control","Stop Sign","Greviously Injured",1
Faridabad,"Traffic Control","Stop Sign","Minor Injury",3
Faridabad,"Traffic Control","Stop Sign","Persons Killed",1
Faridabad,"Traffic Control","Stop Sign","Total Injured",4
Faridabad,"Traffic Control","Stop Sign","Total number of Accidents",4
Faridabad,"Traffic Control","Traffic Light Signal","Greviously Injured",1
Faridabad,"Traffic Control","Traffic Light Signal","Minor Injury",3
Faridabad,"Traffic Control","Traffic Light Signal","Persons Killed",3
Faridabad,"Traffic Control","Traffic Light Signal","Total Injured",4
Faridabad,"Traffic Control","Traffic Light Signal","Total number of Accidents",6
Faridabad,"Traffic Control",Uncontrolled,"Greviously Injured",4
Faridabad,"Traffic Control",Uncontrolled,"Minor Injury",39
Faridabad,"Traffic Control",Uncontrolled,"Persons Killed",28
Faridabad,"Traffic Control",Uncontrolled,"Total Injured",43
Faridabad,"Traffic Control",Uncontrolled,"Total number of Accidents",52
Ghaziabad,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",16
Ghaziabad,"Traffic Control","Flashing Signal/Blinker","Minor Injury",0
Ghaziabad,"Traffic Control","Flashing Signal/Blinker","Persons Killed",11
Ghaziabad,"Traffic Control","Flashing Signal/Blinker","Total Injured",16
